Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[4],ReLU,50,0.001,16,0.01936721
[4],ReLU,50,0.001,32,0.021417737
[4],ReLU,50,0.001,64,0.021768423
[4],ReLU,50,0.001,128,0.035930347
[4],ReLU,50,0.001,256,0.06979926
[4],ReLU,50,0.001,512,0.06200061
[4],ReLU,50,0.0001,16,0.026247198
[4],ReLU,50,0.0001,32,0.069024004
[4],ReLU,50,0.0001,64,0.118427664
[4],ReLU,50,0.0001,128,0.097256094
[4],ReLU,50,0.0001,256,0.072888136
[4],ReLU,50,0.0001,512,0.75999373
[4],ReLU,100,0.1,16,0.013990647
[4],ReLU,100,0.1,32,0.014689177
[4],ReLU,100,0.1,64,0.014570095
[4],ReLU,100,0.1,128,0.014584073
[4],ReLU,100,0.1,256,0.015669387
[4],ReLU,100,0.1,512,0.015834698
[4],ReLU,100,0.01,16,0.015131214
[4],ReLU,100,0.01,32,0.015404034
[4],ReLU,100,0.01,64,0.016106354
[4],ReLU,100,0.01,128,0.018269192
[4],ReLU,100,0.01,256,0.017867316
[4],ReLU,100,0.01,512,0.01758498
[4],ReLU,100,0.001,16,0.016716864
[4],ReLU,100,0.001,32,0.020455213
[4],ReLU,100,0.001,64,0.019281423
[4],ReLU,100,0.001,128,0.02945256
[4],ReLU,100,0.001,256,0.025371743
[4],ReLU,100,0.001,512,0.048620537
[4],ReLU,100,0.0001,16,0.024423506
[4],ReLU,100,0.0001,32,0.035142064
[4],ReLU,100,0.0001,64,0.08696891
[4],ReLU,100,0.0001,128,0.07261859
[4],ReLU,100,0.0001,256,0.34030107
[4],ReLU,100,0.0001,512,0.31749514
[4],ReLU,250,0.1,16,0.013825281
[4],ReLU,250,0.1,32,0.0140958205
[4],ReLU,250,0.1,64,0.014791187
[4],ReLU,250,0.1,128,0.014812439
[4],ReLU,250,0.1,256,0.01466203
[4],ReLU,250,0.1,512,0.014999235
[4],ReLU,250,0.01,16,0.014707171
[4],ReLU,250,0.01,32,0.014235923
[4],ReLU,250,0.01,64,0.015813407
[4],ReLU,250,0.01,128,0.017097274
[4],ReLU,250,0.01,256,0.018479308
[4],ReLU,250,0.01,512,0.018010315
[4],ReLU,250,0.001,16,0.016055103
[4],ReLU,250,0.001,32,0.016395662
[4],ReLU,250,0.001,64,0.018818406
[4],ReLU,250,0.001,128,0.020278942
[4],ReLU,250,0.001,256,0.019459017
[4],ReLU,250,0.001,512,0.033622693
[4],ReLU,250,0.0001,16,0.022511229
[4],ReLU,250,0.0001,32,0.024807556
[4],ReLU,250,0.0001,64,0.03880961
[4],ReLU,250,0.0001,128,0.06639515
[4],ReLU,250,0.0001,256,0.1337447
[4],ReLU,250,0.0001,512,0.056945816
[4],Tanh,1,0.1,16,0.015601458
[4],Tanh,1,0.1,32,0.017101696
[4],Tanh,1,0.1,64,0.01657433
[4],Tanh,1,0.1,128,0.02167132
[4],Tanh,1,0.1,256,0.027098631
[4],Tanh,1,0.1,512,0.03874156
[4],Tanh,1,0.01,16,0.026704647
[4],Tanh,1,0.01,32,0.0421669
[4],Tanh,1,0.01,64,0.027569717
[4],Tanh,1,0.01,128,0.032172237
[4],Tanh,1,0.01,256,0.22971375
[4],Tanh,1,0.01,512,0.4373496
[4],Tanh,1,0.001,16,0.27269587
[4],Tanh,1,0.001,32,0.09697415
[4],Tanh,1,0.001,64,0.49645
[4],Tanh,1,0.001,128,0.25145358
[4],Tanh,1,0.001,256,0.7190957
[4],Tanh,1,0.001,512,0.8846176
[4],Tanh,1,0.0001,16,0.12504737
[4],Tanh,1,0.0001,32,0.2756294
[4],Tanh,1,0.0001,64,0.5264235
[4],Tanh,1,0.0001,128,0.25204727
[4],Tanh,1,0.0001,256,0.5364332
[4],Tanh,1,0.0001,512,0.3179099
[4],Tanh,10,0.1,16,0.015418171
[4],Tanh,10,0.1,32,0.015892101
[4],Tanh,10,0.1,64,0.016356047
[4],Tanh,10,0.1,128,0.016126588
[4],Tanh,10,0.1,256,0.016907256
[4],Tanh,10,0.1,512,0.018198565
[4],Tanh,10,0.01,16,0.015086929
[4],Tanh,10,0.01,32,0.017326623
[4],Tanh,10,0.01,64,0.016419616
[4],Tanh,10,0.01,128,0.020676093
[4],Tanh,10,0.01,256,0.034043886
[4],Tanh,10,0.01,512,0.033074707
[4],Tanh,10,0.001,16,0.026832933
[4],Tanh,10,0.001,32,0.034059733
[4],Tanh,10,0.001,64,0.04084167
[4],Tanh,10,0.001,128,0.09606712
[4],Tanh,10,0.001,256,0.21069336
[4],Tanh,10,0.001,512,0.43876874
[4],Tanh,10,0.0001,16,0.14596452
[4],Tanh,10,0.0001,32,0.04620978
[4],Tanh,10,0.0001,64,0.125878
[4],Tanh,10,0.0001,128,0.19254869
[4],Tanh,10,0.0001,256,0.779715
[4],Tanh,10,0.0001,512,0.5017096
[4],Tanh,25,0.1,16,0.014971303
[4],Tanh,25,0.1,32,0.015357674
[4],Tanh,25,0.1,64,0.016042246
[4],Tanh,25,0.1,128,0.01578841
[4],Tanh,25,0.1,256,0.015951062
[4],Tanh,25,0.1,512,0.016493876
[4],Tanh,25,0.01,16,0.01567667
[4],Tanh,25,0.01,32,0.017538646
